002219.SZ 新里程 医疗保健
002221.SZ 东华能源 石油贸易
002222.SZ 福晶科技 元器件
002223.SZ 鱼跃医疗 医疗保健
002224.SZ 三力士 橡胶
002225.SZ 濮耐股份 其他建材
OK 1.7497835290996895 0.1778547168529569 0.5528542588285368 18.3149
002226.SZ 江南化工 化工原料
002227.SZ 奥特迅 电气设备
002228.SZ 合兴包装 广告包装
002229.SZ 鸿博股份 广告包装
002230.SZ 科大讯飞 软件服务
002231.SZ 奥维通信 通信设备
002232.SZ 启明信息 软件服务
002233.SZ 塔牌集团 水泥
002234.SZ 民和股份 农业综合
002235.SZ 安妮股份 造纸
002236.SZ 大华股份 IT设备
002237.SZ 恒邦股份 黄金
